MeanVector,CoVariance,Eigenvalues,Map inputs 
0.023017,1.666927,0.105348,0.063386
0.020606,1.665885,0.096803,0.019231
0.000962,1.642870,0.105959,0.042124
0.001122,1.770512,0.094764,0.110021
0.025779,1.804440,0.049847,0.141678
0.028984,1.751061,0.054865,0.079000
0.002357,1.657753,0.100196,0.056843
0.027550,1.747245,0.108049,0.155978
0.022512,1.762741,0.051620,0.111427
0.028543,1.811472,0.033378,0.004566
